Link_index	Source	Destination	Capacity(EPRps)	Length
0	0	1	73653.52	16.141
1	1	8	126.605	112.263
2	1	3	40411.19	22.227
3	2	41	17508.02	32.285
4	2	3	32333.114999999998	24.742
5	2	3	32333.114999999998	24.742
6	2	6	4831.155	50.521
7	3	49	19300.585	31.03
8	4	8	20606.565000000002	30.198
9	4	9	22860.22	28.899
10	4	7	12751.724999999999	36.502
11	5	8	8372.5	42.391
12	5	47	8650.119999999999	41.923
13	6	7	1050.835	75.052
14	8	32	13127.515000000001	36.108
15	8	35	111575.345	12.563
16	8	38	3676.175	54.72
17	8	47	655.3700000000001	83.094
18	8	36	29766.14	25.708
19	8	30	13990.920000000002	35.248
20	8	31	36088.75	23.487
21	9	32	27595.96	26.606
22	10	11	71258.84	16.449
23	11	19	19147.57	31.131
24	11	23	10063.745	39.777
25	12	30	230836.575	7.624
26	12	30	230836.575	7.624
27	13	14	54426.06	19.079
28	13	30	10194.585	39.596
29	14	42	76398.42	15.804
30	14	15	3203.26	56.872
31	14	45	670.84	82.693
32	15	16	3468.93	55.624
33	16	17	45643.869999999995	20.91
34	16	17	45643.869999999995	20.91
35	17	18	14062.974999999999	35.179
36	18	19	7518.674999999999	43.945
37	19	24	21545.915	29.637
38	19	30	975.58	76.306
39	20	26	69135.36	16.733
40	20	21	15997.99	33.465
41	21	28	259908.115	6.976
42	22	37	55558.435	18.87
43	22	30	21822.85	29.477
44	23	30	239219.21	7.424
45	24	27	41011.59	22.066
46	25	27	29465.46	25.827
47	25	37	58841.015	18.296
48	26	27	14245.54	35.006
49	26	27	14245.54	35.006
50	26	29	19398.73	30.965
51	28	29	26908.215	26.908
52	30	36	81770.44	15.19
53	30	38	4040.75	53.256
54	30	31	113819.655	12.405
55	32	33	754750.65	2.898
56	32	38	53233.72	19.305
57	32	39	74101.23999999999	16.085
58	33	34	142584.54499999998	10.708
59	34	35	95201.74	13.866
60	37	38	110755.64	12.622
61	37	38	110755.64	12.622
62	38	39	192376.41	8.704
63	40	41	8923.59	41.479
64	40	49	21514.864999999998	29.655
65	42	44	27773.045000000002	26.529
66	42	46	14132.02	35.113
67	43	44	62439.97	17.711
68	43	46	92015.84000000001	14.156
69	45	47	2115.925	63.488
70	46	47	22641.67	29.018
71	47	48	43302.59	21.475
72	48	49	53651.94	19.225
